date,USARECM,USARECDM,USARECDP,RECPROUSM156N,recess1,recess2,recess3,recess4,recess5,Adj Close,Value,T10Y2Y,BAMLCC1A013YTRIV,stock returns,bond returns
1987-03-31,1.0,1.0,0.0,0.02,3.0,10.0,10.0,12.5,12.5,291.70001220703125,2.85,0.78,323.46,0.02638986515783987,0.0038171492412250917
1987-04-30,0.0,0.0,0.0,0.04,3.0,10.0,10.0,12.5,12.5,288.3599853515625,2.9,0.83,322.08,-0.011450211572491119,-0.004266369875718777
1987-05-29,0.0,0.0,0.0,0.04,3.0,10.0,10.0,12.5,12.5,290.1000061035156,2.9,0.75,322.59,0.006034196283620031,0.0015834575260804487
1987-06-30,0.0,0.0,0.0,0.02,5.0,10.0,10.0,20.0,22.5,304.0,2.83,0.77,325.95,0.04791449018971918,0.010415697944759645
1987-07-31,0.0,0.0,0.0,0.04,5.0,10.0,10.0,20.0,22.5,318.6600036621094,2.76,0.91,327.78,0.04822369625693873,0.005614358030372708
1987-08-31,0.0,0.0,0.0,0.02,5.0,10.0,10.0,20.0,22.5,329.79998779296875,2.61,0.92,328.47,0.03495884015199987,0.002105070474098647
1987-09-30,0.0,0.0,0.0,0.06,1.0,5.0,10.0,20.0,22.5,321.8299865722656,2.72,1.02,328.25,-0.024166165905701236,-0.0006697719730874274
1987-10-30,0.0,0.0,0.0,0.0,1.0,5.0,10.0,20.0,22.5,251.7899932861328,2.72,0.83,333.09,-0.21763041421998014,0.014744859101294668
1987-11-30,0.0,0.0,0.0,0.02,1.0,5.0,10.0,20.0,22.5,230.3000030517578,3.58,1.04,336.13,-0.08534886535365165,0.009126662463598488
1987-12-31,0.0,0.0,0.0,0.04,1.0,22.5,30.0,20.0,22.5,247.0800018310547,3.66,0.99,338.38,0.07286147875354446,0.006693838693362687
1988-01-29,0.0,0.0,0.0,0.16,1.0,22.5,30.0,20.0,22.5,257.07000732421875,3.66,0.96,343.03,0.04043227059709553,0.013741946923576977
1988-02-29,0.0,0.0,0.0,0.02,1.0,22.5,30.0,20.0,22.5,267.82000732421875,3.45,0.97,347.0,0.04181740262854552,0.011573331778561723
1988-03-31,0.0,0.0,0.0,0.02,20.0,30.0,10.0,10.0,20.0,258.8900146484375,3.37,1.04,348.68,-0.033343262010185594,0.00484149855907783
1988-04-29,0.0,0.0,0.0,0.0,20.0,30.0,10.0,10.0,20.0,261.3299865722656,3.37,1.04,348.92,0.009424743272317827,0.0006883101984627999
1988-05-31,0.0,0.0,0.0,0.04,20.0,30.0,10.0,10.0,20.0,262.1600036621094,3.57,0.98,350.0,0.0031761264779854312,0.0030952653903473116
1988-06-30,0.0,0.0,0.0,0.04,7.5,10.0,15.0,25.0,30.0,273.5,3.41,0.8,354.06,0.043256012280601074,0.011600000000000006
1988-07-29,0.0,0.0,0.0,0.06,7.5,10.0,15.0,25.0,30.0,272.0199890136719,3.41,0.7,354.92,-0.005411374721492231,0.002428966841778268
1988-08-31,0.0,0.0,0.0,0.1,7.5,10.0,15.0,25.0,30.0,261.5199890136719,3.56,0.54,356.51,-0.03860010449258663,0.004479882790487927
1988-09-30,0.0,0.0,0.0,0.02,0.5,5.0,10.0,17.5,22.5,271.9100036621094,3.53,0.44,360.44,0.03972933268934301,0.011023533701719466
1988-10-31,0.0,0.0,0.0,0.0,0.5,5.0,10.0,17.5,22.5,278.9700012207031,3.44,0.4,363.4,0.025964464210617638,0.008212185107091275
1988-11-30,0.0,0.0,0.0,0.0,0.5,5.0,10.0,17.5,22.5,273.70001220703125,3.56,0.16,363.37,-0.018890880706211127,-8.255365987884622e-05
